00200d7d-8745-42cc-ac66-d7c16403a605,11/25/2007,,999-12-3794,,,,Dell853,Schoen119,,,,white,polish,F,Brockton MA US,9072 Makayla Cove Brewster MA 02631 US,,,,,,,,,,,,,,,,
002d6c37-1862-47fc-9de9-eb89ef5387b4,4/26/1944,,999-68-9942,S99916631,X66986967X,Mrs.,Garfield809,Rutherford110,,Christiansen946,M,white,irish,F,Newburyport MA US,78554 Robyn Landing Apt. 321 Brewster MA 02631 US,,,,S99943248,X93787069X,Mr.,Jennings258,Mertz249,,,,white,polish,M,Danvers MA US,526 Herzog Parkways Eastham MA 02642 US
00d27ddc-57c7-4592-85fe-cd962599c8b2,3/24/1925,12/10/1983,999-18-8658,S99925735,FALSE,Mr.,Reggie29,Rau904,,,M,white,french_canadian,M,Quincy MA US,4582 Joanie Street Brewster MA 02631 US,,,,,,,,,,,,,,,,
012dbda1-5a23-4b43-a373-902aedee9e88,7/8/1942,4/5/1997,999-69-8928,S99957389,X44230496X,Mr.,Retha189,Jaskolski977,,,S,white,french_canadian,M,Holyoke MA US,9393 Goodwin Extensions Apt. 413 Barnstable MA 02630 US,,,,,,,,,,,,,,,,
02380cc2-86e1-4961-82f1-703075d4bc86,4/19/1959,,999-61-8850,S99973273,X43902346X,Mrs.,Mara896,Denesik641,,Windler822,M,white,german,F,North Andover MA US,729 Dare Land Apt. 392 Dennis MA 02638 US,,,,,,,,,,,,,,,,
0284c1e2-3d52-49e8-86f1-303bcd99d0c9,4/20/1951,5/25/2003,999-61-9375,S99992258,X36489166X,Mr.,Janiya167,Rodriguez388,,,S,white,irish,M,Swampscott MA US,16138 Osvaldo Summit Apt. 620 Eastham MA 02642 US,,,,,,,,,,,,,,,,
034a54ee-0f78-4889-a04f-6f89d811f2d0,7/14/1968,,999-26-8421,S99916094,FALSE,Mr.,Madison855,Spinka682,,,S,white,french_canadian,M,Holyoke MA US,1810 Gutmann Views Suite 149 Bourne MA 02559 US,,,,,,,,,,,,,,,,
03908486-b783-4789-a810-032bebb6025e,3/8/1949,,999-22-9620,S99997577,X35349605X,Mr.,Greta79,Bruen922,,,M,white,scottish,M,Chelmsford MA US,70009 Katrine Causeway Chatham MA 02633 US,,,,,,,,,,,,,,,,
03cabee4-d1f7-49e7-94c9-0baaedbad2cf,1/31/1945,,999-12-1629,S99964565,FALSE,Mrs.,Cornelius238,Tromp639,,Boyle761,M,white,french,F,Chicopee MA US,16389 Violette Extensions Suite 264 Eastham MA 02642 US,,,,,,,,,,,,,,,,
03d889ba-5cdc-444a-bcb0-e86b705e860e,10/7/1959,,999-95-6418,S99931035,FALSE,Mr.,Pat205,Schulist336,,,S,white,portuguese,M,Hardwick MA US,31357 Ole Ridge Dennis MA 02638 US,,,,,,,,,,,,,,,,
